		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110111100   19   21   27   21   30   38   33   22 15.045663 0.058264 SUCCESS 117
111000000   19   22   26   14   25   16   17   23 11.573579 0.171268 SUCCESS 118
111000010   32   26   16   26   16   29   42   20 23.484581 0.002795 FAILURE 119
111000100   24   34   23   26   24   26   19   27  5.740875 0.676232 SUCCESS 120
111000110   19   23   21   26   27   25   32   26  4.774384 0.781396 SUCCESS 121
111001000   33   33   33   22   28   20   18   15 16.493413 0.035838 SUCCESS 122
111001010   23   27   24   29   27   30   26   32  5.446294 0.708983 SUCCESS 123
111001100   24   23   24   24   25   19   19   25  2.603091 0.956750 SUCCESS 124
111010000   21   24   20   16   20   24   26   26  5.347659 0.719853 SUCCESS 125
111010010   20   32   30   13   23   21   22   28 11.467000 0.176616 SUCCESS 126
111010100   20   28   24   26   34   16   23   21  8.950815 0.346462 SUCCESS 127
111010110   26   17   34   33   23   25   27   21 10.342297 0.241818 SUCCESS 128
111011000   27   24   31   34   14   20   23   23 11.611974 0.169374 SUCCESS 129
111011010   19   16   17   29   35   30   28   25 14.095060 0.079321 SUCCESS 130
111011100   31   22   21   35   29   17   27   36 16.546371 0.035195 SUCCESS 131
111100000   19   28   34   19   24   19   17   22 10.728893 0.217539 SUCCESS 132
111100010   25   27   27   29   18   29   23   27  4.487085 0.810724 SUCCESS 133
111100100   24   26   31   20   25   30   24   19  5.367518 0.717669 SUCCESS 134
111100110   20   26   19   34   22   22   27   24  6.849691 0.552933 SUCCESS 135
111101000   23   25   21   16   11   30   25   30 13.855423 0.085612 SUCCESS 136
111101010   23   25   14   13   31   15   23   22 16.098873 0.040987 SUCCESS 137
111101100   30   24   35   29   32   25   19   24 10.699766 0.219298 SUCCESS 138
111101110   33   21   23   26   26   17   17   28  9.111676 0.332963 SUCCESS 139
111110000   28   20   25   23   19   21   27   23  3.560976 0.894406 SUCCESS 140
111110010   19   27   24   20   25   30   21   17  6.500828 0.591316 SUCCESS 141
111110100   23   28   22   11   17   34   30   29 16.932967 0.030815 SUCCESS 142
111110110   24   22   31   32   25   28   26   22  5.462181 0.707226 SUCCESS 143
111111000   19   15   20   25   24   22   30   26  7.500417 0.483724 SUCCESS 144
111111010   29   22   15   15   28   25   36   25 14.907971 0.060960 SUCCESS 145
111111100   20    9   25   30   26   31   22   18 16.143226 0.040375 SUCCESS 146
111111110   19   16   24   21   36   29   32   19 15.001310 0.059120 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   23   25   24   20   25   32   27   19  4.909428 0.767211 SUCCESS   0
000000011   20   24   22   30   24   22   28   23  3.282282 0.915415 SUCCESS   1
000000101   22   19   26   21   26   25   27   27  2.773882 0.947737 SUCCESS   2
000000111   24   21   26   16   18   24   25   26  5.458210 0.707665 SUCCESS   3
